epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.1454973220825195,0.5922729969024658,0.8210660815238953,0.7260596752166748
2,0.744627058506012,0.7428907752037048,0.709729015827179,0.7653061151504517
3,0.6187347173690796,0.7811335325241089,0.7632706761360168,0.7386185526847839
4,0.5369474291801453,0.8134928345680237,0.5996302366256714,0.7998430132865906
5,0.4531058967113495,0.8407530784606934,0.646831750869751,0.7880690693855286
6,0.408512145280838,0.8633065223693848,0.6600754261016846,0.784144401550293
7,0.3473513722419739,0.8772308230400085,0.6196209788322449,0.795918345451355
8,0.31165143847465515,0.8897823095321655,0.5546718239784241,0.8202511668205261
9,0.28371602296829224,0.9029221534729004,0.5934820175170898,0.8116169571876526
10,0.24702267348766327,0.9123357534408569,0.5574294328689575,0.8233909010887146
