EfficientNetV2S_lr0.0005_epochs10_bs32
epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7184862494468689,0.7934321761131287,0.16662226617336273,0.9532908797264099
2,0.1375671923160553,0.9608050584793091,0.06190510839223862,0.9893842935562134
3,0.05877101793885231,0.9862288236618042,0.05029682442545891,0.9893842935562134
4,0.04904114082455635,0.991525411605835,0.03829913213849068,0.9915074110031128
5,0.04308179020881653,0.9894067645072937,0.03887119144201279,0.9915074110031128
6,0.0273716002702713,0.9947034120559692,0.044218435883522034,0.9893842935562134
7,0.03577205538749695,0.992584764957428,0.029522456228733063,0.993630588054657
8,0.029924970120191574,0.9936440587043762,0.03187692537903786,0.9915074110031128
9,0.047307584434747696,0.9841101765632629,0.03998721018433571,0.9851379990577698
10,0.029829248785972595,0.9899364113807678,0.029376517981290817,0.993630588054657
loss,accuracy
0.005861646495759487,1.0
Class,Precision,Recall,F1-Score,Support
acer_negundo,0.0,0.0,0.0,10.0
acer_palmatum,0.0,0.0,0.0,6.0
aesculus_pavi,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
asimina_triloba,0.3,0.3,0.3,10.0
cercis_canadensis,0.0,0.0,0.0,9.0
chionanthus_virginicus,0.0,0.0,0.0,9.0
gleditsia_triacanthos,0.0,0.0,0.0,8.0
ilex_opaca,0.0,0.0,0.0,11.0
liriodendron_tulipifera,0.1,0.1,0.1,10.0
ostrya_virginiana,0.0,0.0,0.0,10.0
prunus_sargentii,0.0,0.0,0.0,6.0
ptelea_trifoliata,0.09090909090909091,0.09090909090909091,0.09090909090909091,11.0
quercus_montana,0.0,0.0,0.0,10.0
styrax_japonica,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
ulmus_pumila,0.0,0.0,0.0,6.0
macro avg,0.05336219336219336,0.05336219336219336,0.05336219336219336,129.0
weighted avg,0.05426356589147287,0.05426356589147287,0.05426356589147287,129.0
