epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7032853960990906,0.7976694703102112,0.17450560629367828,0.9426751732826233
2,0.13693077862262726,0.9661017060279846,0.07915088534355164,0.987261176109314
3,0.07867415249347687,0.9735169410705566,0.04280387610197067,0.9957537055015564
4,0.048738569021224976,0.9872881174087524,0.04487476870417595,0.9893842935562134
5,0.03554752469062805,0.992584764957428,0.040064722299575806,0.9893842935562134
6,0.0530436672270298,0.9862288236618042,0.029003949835896492,0.993630588054657
7,0.030787236988544464,0.9931144118309021,0.035568684339523315,0.9915074110031128
8,0.04747902229428291,0.9883474707603455,0.030998704954981804,0.9915074110031128
9,0.04850604012608528,0.9894067645072937,0.016278285533189774,0.9957537055015564
10,0.03503787890076637,0.9904661178588867,0.016674816608428955,0.9957537055015564
