epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6041288375854492,0.819915235042572,0.09760291874408722,0.9787685871124268
2,0.09363394975662231,0.9751059412956238,0.06681859493255615,0.9766454100608826
3,0.05764128640294075,0.9867584705352783,0.10196834802627563,0.9639065861701965
4,0.03619294613599777,0.9920550584793091,0.058931030333042145,0.9787685871124268
5,0.08439228683710098,0.9692796468734741,0.09217304736375809,0.966029703617096
6,0.043456628918647766,0.9862288236618042,0.030875694006681442,0.9893842935562134
7,0.017142845317721367,0.9973517060279846,0.04061240330338478,0.9830148816108704
8,0.016026057302951813,0.9968220591545105,0.07946506887674332,0.9681528806686401
9,0.018259607255458832,0.9941737055778503,0.03020964190363884,0.9851379990577698
10,0.010882783681154251,0.9978813529014587,0.04407785087823868,0.9830148816108704
