EfficientNetB7_lr0.0005_epochs10_bs32
epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.5868857502937317,0.8389830589294434,0.11270599812269211,0.966029703617096
2,0.0859081894159317,0.977224588394165,0.11162427812814713,0.9617834687232971
3,0.06531272828578949,0.9809321761131287,0.05562799051403999,0.9830148816108704
4,0.05372973904013634,0.9830508232116699,0.058138228952884674,0.9808917045593262
5,0.050654087215662,0.9809321761131287,0.05131078511476517,0.9893842935562134
6,0.03206135705113411,0.9888771176338196,0.0506136491894722,0.9830148816108704
7,0.01424815971404314,0.9968220591545105,0.044224608689546585,0.9830148816108704
8,0.011650074273347855,0.9973517060279846,0.02639131247997284,0.987261176109314
9,0.006913952063769102,0.9989407062530518,0.025180019438266754,0.9915074110031128
10,0.029858706519007683,0.9888771176338196,0.05928351357579231,0.9787685871124268
loss,accuracy
0.014814283698797226,0.9922480583190918
Class,Precision,Recall,F1-Score,Support
acer_negundo,0.2,0.2,0.2,10.0
acer_palmatum,0.0,0.0,0.0,6.0
aesculus_pavi,0.0,0.0,0.0,7.0
asimina_triloba,0.0,0.0,0.0,10.0
cercis_canadensis,0.0,0.0,0.0,9.0
chionanthus_virginicus,0.0,0.0,0.0,9.0
gleditsia_triacanthos,0.0,0.0,0.0,8.0
ilex_opaca,0.0,0.0,0.0,11.0
liriodendron_tulipifera,0.0,0.0,0.0,10.0
ostrya_virginiana,0.1,0.1,0.1,10.0
prunus_sargentii,0.16666666666666666,0.16666666666666666,0.16666666666666666,6.0
ptelea_trifoliata,0.09090909090909091,0.09090909090909091,0.09090909090909091,11.0
quercus_montana,0.2,0.2,0.2,10.0
styrax_japonica,0.0,0.0,0.0,6.0
ulmus_pumila,0.0,0.0,0.0,6.0
macro avg,0.050505050505050504,0.050505050505050504,0.050505050505050504,129.0
weighted avg,0.05426356589147287,0.05426356589147287,0.05426356589147287,129.0
