Class,Precision,Recall,F1-Score,Support
Bluebell,0.9863013698630136,1.0,0.993103448275862,72.0
Buttercup,1.0,1.0,1.0,75.0
Coltsfoot,1.0,1.0,1.0,75.0
Cowslip,1.0,1.0,1.0,81.0
Crocus,1.0,0.9859154929577465,0.9929078014184397,71.0
Daffodil,0.9879518072289156,1.0,0.9939393939393939,82.0
Daisy,1.0,1.0,1.0,95.0
Dandelion,1.0,1.0,1.0,90.0
Fritillary,1.0,1.0,1.0,90.0
Iris,1.0,1.0,1.0,89.0
Lilyvalley,1.0,1.0,1.0,69.0
Pansy,1.0,1.0,1.0,69.0
Snowdrop,1.0,1.0,1.0,78.0
Sunflower,1.0,1.0,1.0,82.0
Tigerlily,1.0,1.0,1.0,92.0
Tulip,1.0,0.987012987012987,0.9934640522875817,77.0
Windflower,1.0,1.0,1.0,83.0
macro avg,0.9984854810054077,0.9984075576453373,0.9984361585836046,1370.0
weighted avg,0.9985589392867943,0.9985401459854014,0.9985399010990842,1370.0
