Class,Precision,Recall,F1-Score,Support
Agaricus,0.0759493670886076,0.0759493670886076,0.0759493670886076,79.0
Amanita,0.05128205128205128,0.05063291139240506,0.050955414012738856,79.0
Boletus,0.1125,0.11392405063291139,0.11320754716981132,79.0
Cortinarius,0.1038961038961039,0.10126582278481013,0.10256410256410256,79.0
Entoloma,0.14285714285714285,0.13924050632911392,0.14102564102564102,79.0
Hygrocybe,0.11392405063291139,0.11392405063291139,0.11392405063291139,79.0
Lactarius,0.1038961038961039,0.10126582278481013,0.10256410256410256,79.0
Russula,0.1511627906976744,0.16455696202531644,0.15757575757575756,79.0
Suillus,0.07692307692307693,0.0759493670886076,0.07643312101910828,79.0
macro avg,0.10359896525263025,0.1040787623066104,0.10379990040586456,711.0
weighted avg,0.10359896525263027,0.10407876230661041,0.10379990040586456,711.0
